Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity,d_1 Lee Grading,d_{-1} Lee Grading
11a_63,,4,93,1,{-4},93,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_64,,4,97,1,{-4},97,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_65,59/32,2,59,1,{-2},59,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_66,,2,119,1,{-2},119,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_67,,0,125,1,{0},125,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_68,,-2,103,1,{2},103,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_71,,-2,159,1,{2},159,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_72,,0,153,1,{0},153,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_73,,0,177,1,{0},177,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_74,,-4,73,1,{4},73,False,"[(0, 0, 4), (-4, 4, 4)]","[(4, 4, -4), (0, 0, 4)]"
11a_75,83/36,-2,83,1,{2},83,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_76,,0,145,1,{0},145,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_77,131/76,2,131,1,{-2},131,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_79,,2,143,1,{-2},143,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_80,,0,137,1,{0},137,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_81,,-2,127,1,{2},127,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_82,,2,95,1,{-2},95,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_83,,-4,113,1,{4},113,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_84,101/57,0,101,1,{0},101,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_85,107/47,-2,107,1,{2},107,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_86,,-2,91,1,{2},91,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_88,,0,101,1,{0},101,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_89,119/44,-2,119,1,{2},119,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_90,87/64,2,87,1,{-2},87,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_91,129/50,0,129,1,{0},129,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_92,,2,103,1,{-2},103,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_93,93/52,0,93,1,{0},93,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_94,,-6,107,1,{6},107,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
11a_96,121/50,0,121,1,{0},121,False,"[(0, 0, 0)]","[(0, 0, 0)]"
11a_97,,-2,71,1,{2},71,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_98,77/18,0,77,1,{0},77,False,"[(0, 0, 0)]","[(0, 0, 0)]"
11a_99,,-2,135,1,{2},135,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_100,,-4,141,1,{4},141,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_105,,-4,109,1,{4},109,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_106,,0,93,1,{0},93,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_108,,2,99,1,{-2},99,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_109,,0,117,1,{0},117,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_110,97/35,0,97,1,{0},97,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_111,103/37,-2,103,1,{2},103,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_112,,0,125,1,{0},125,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
11a_113,,4,109,1,{-4},109,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_117,117/49,-4,117,1,{4},117,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_118,,-2,87,1,{2},87,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_119,77/34,0,77,1,{0},77,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_120,109/64,4,109,1,{-4},109,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_121,119/50,2,119,1,{-2},119,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_122,,2,127,1,{-2},127,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_124,,-6,155,1,{6},155,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
11a_125,,-2,175,1,{2},175,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_126,,0,145,1,{0},145,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_127,,-4,137,1,{4},137,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
11a_128,,0,129,1,{0},129,False,"[(0, 0, 0)]","[(0, 0, 0)]"
11a_129,,4,113,1,{-4},113,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_130,,2,123,1,{-2},123,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_131,,2,131,1,{-2},131,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_133,,-2,79,1,{2},79,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_134,,-2,123,1,{2},123,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_135,,0,153,1,{0},153,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
11a_136,,2,163,1,{-2},163,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_139,,-2,99,1,{2},99,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_140,65/17,-4,65,1,{4},65,False,"[(-4, 4, 4), (0, 0, 4)]","[(0, 0, 4), (4, 4, -4)]"
11a_141,,2,103,1,{-2},103,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
11a_142,,6,59,1,{-6},59,False,"[(6, -6, -6)]","[(-6, -6, 6)]"
11a_143,,4,89,1,{-4},89,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_144,73/56,4,73,1,{-4},73,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_145,83/22,2,83,1,{-2},83,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_146,,2,123,1,{-2},123,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_147,,-2,151,1,{2},151,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
11a_149,,-2,127,1,{2},127,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
11a_150,,4,125,1,{-4},125,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
11a_151,,2,127,1,{-2},127,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
11a_152,,0,117,1,{0},117,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
